id,st_code,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
10271895,01,AL,1895,52.7,48.1,66.5,75.7,80.6,88.4,89.6,89.7,89.1,74.2,65.1,57.1
10271896,01,AL,1896,53,59,63.9,80.6,87.8,87.9,91.6,94,89.2,75.8,68.9,57.7
10271897,01,AL,1897,52.1,61,69.9,74.8,82.2,94,92.8,89.5,88.7,81,67.1,58
10271898,01,AL,1898,59.1,58,69.9,71,88,92.7,90.5,88.4,85.4,72.3,61,54.3
10271899,01,AL,1899,54.4,51.4,67.8,72.6,88.6,92.3,91.9,92,86.3,78.1,67.8,55.6
10271900,01,AL,1900,55.3,56.4,64.5,76.7,84.4,85.2,90.6,93.5,89.1,78.2,66.4,57.4
10271901,01,AL,1901,57.5,53.9,65.5,70,84,91.1,95.1,89.6,83.7,76.2,62.7,53.6
10271902,01,AL,1902,55.4,50.9,66.2,74.9,88.3,94.6,96.1,94.6,84.8,75.6,69.2,55.6
10271903,01,AL,1903,53.5,59.5,68.4,74,81,85.1,92,91.8,86.7,77,62.5,52.8
10271904,01,AL,1904,52.6,60.2,70.3,72.7,84.2,91.3,90.6,89.6,90.3,80.1,64.9,57
10271905,01,AL,1905,49.8,49.5,71.6,75.7,85.4,91.4,91.1,89.8,88.2,74.4,68,52.6
10271906,01,AL,1906,57.2,58.1,61.9,79.1,82.1,91.1,89.9,91.7,88.6,72.6,68.8,60.4
10271907,01,AL,1907,65,60.6,77.3,70,79.2,88.2,92.8,92.5,86.8,76.9,62.8,55.5
10271908,01,AL,1908,54.6,55.2,74.6,79.7,84,90.4,91.9,91.4,87,75.3,70.3,61.6
10271909,01,AL,1909,61,63.2,67.8,75.6,81.4,89,91.5,92.8,87.3,79.1,74.8,52.1
10271910,01,AL,1910,57.6,56.9,75.2,75.8,81.9,86.9,88.8,91.2,90.3,79.5,64.1,53.2
10271911,01,AL,1911,61.3,65.4,71.1,74.9,86.6,93.9,89.1,89.8,92.5,80.4,62.6,60.1
10271912,01,AL,1912,51.4,55.1,63.6,76,84.8,85.8,90.2,90.2,87.5,77.6,64.8,56.9
10271913,01,AL,1913,62.5,58.2,66.5,75,84.6,91.1,92.7,93.4,84,73.9,70.1,57.2
10271914,01,AL,1914,58.8,57.4,62.2,76.7,85.4,96.4,93.9,89.6,84.5,74.8,65.8,51.5
10271915,01,AL,1915,53.3,58.9,58.1,79,86.1,90.8,92.2,90.1,88.5,78,70.4,58
10271916,01,AL,1916,62.6,59.9,67.1,74.7,86.2,89,87.3,91.3,86.6,78,68.5,58.2
10271917,01,AL,1917,60,60.9,68.7,77.5,79.7,90.9,90.9,89.5,84.4,73.4,64.3,50.9
10271918,01,AL,1918,48.6,65.2,74.6,71.8,85.3,92.2,90.6,92.4,83.1,78.4,64.5,59.5
10271919,01,AL,1919,56.3,58.5,69,76.2,79.8,88.9,90.1,89.6,88.2,84.7,69,58.8
10271920,01,AL,1920,56.8,56.5,63.7,73.7,80.9,88.7,90.1,87.4,87.9,78.4,63.3,55.2
10271921,01,AL,1921,61.1,62,75.9,74.5,82.3,93.2,92.9,91.8,93.2,76.7,70.1,62.6
10271922,01,AL,1922,55.4,64.3,66.6,77.8,82.1,89.9,91.1,90.4,90,77,69,63.7
10271923,01,AL,1923,62.8,57.7,66.7,74.8,79.8,87.4,89.4,88.5,87.7,76,63.7,62.8
10271924,01,AL,1924,52.7,58,61.8,74.8,79.5,90.6,91.9,94.3,83.6,79.1,69.7,58.5
10271925,01,AL,1925,57.2,64.3,70.8,80.8,82.6,93.3,93.6,93.3,96.8,75.8,63.2,55.7
10271926,01,AL,1926,53.8,62.1,59.8,74,83.4,89.4,90.9,90.4,89.8,78.3,61.5,61.8
10271927,01,AL,1927,59.5,68.7,67.4,79.8,84.8,88.3,92.4,89.8,90.8,81.5,71.4,57
10271928,01,AL,1928,56,59,67.1,71.4,81.5,86,91.4,91.6,84.8,79.4,64.5,58.3
10271929,01,AL,1929,59.9,56.4,70.5,78.1,82.1,88.5,91.4,93,84.9,74.4,62.6,56.2
10271930,01,AL,1930,55.7,65.8,62.8,78.8,84.4,89.9,96.9,91.7,86.9,73.6,62.6,52.3
10271931,01,AL,1931,55.3,61.6,60.7,74,80.7,93.8,92.5,89,92.2,80.9,73,63.6
10271932,01,AL,1932,62.5,68,63,77.2,81.3,90,93.6,91.1,84.7,74.7,60.5,58.9
10271933,01,AL,1933,61.6,58.7,67.4,73.7,87.7,91.8,89.3,90.8,91.6,78.1,67.1,66.5
10271934,01,AL,1934,58.6,56.4,65.9,76.1,83,91.1,92,90.4,86.5,78.5,68.4,55.3
10271935,01,AL,1935,57.9,60.3,72.2,75,83.8,88.3,91.9,91.8,86.2,80,66.1,49.4
10271936,01,AL,1936,54.2,55.8,71.4,73.6,85.7,94.6,92.6,91.5,89.3,78.2,64.1,58.5
10271937,01,AL,1937,65,58.3,64.7,75.8,84.4,91.3,91.3,91.3,84.2,73,61.4,55.9
10271938,01,AL,1938,56.8,66,73.9,75.2,84,88.2,90.2,92.6,87.2,80.5,68.6,57.7
10271939,01,AL,1939,60.4,63.2,70.3,74,81.5,88.6,91.4,88.3,88.1,79.1,64.1,60
