id,st_code,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
10281895,01,AL,1895,33.4,26.8,42.4,51.2,58.4,66.5,68.8,69.3,66.4,45.2,41.4,32.7
10281896,01,AL,1896,34,36.4,41.2,55.6,63.9,66.9,70.7,70.4,62.6,50.6,45.8,35.1
10281897,01,AL,1897,31.4,41.2,50.4,50.1,55.9,68.3,70.2,68.1,62.5,53.1,41.4,36.9
10281898,01,AL,1898,38.8,34.2,48.5,46.4,60.2,68,69.6,69.2,65.1,49.6,38.7,32.5
10281899,01,AL,1899,33.1,28.6,43.5,50.8,63.6,67.6,68.9,69.9,59.4,54,42.8,33.8
10281900,01,AL,1900,31.9,32.4,41.3,51.6,58.4,67.4,69.1,68.9,66,58.2,43,35.7
10281901,01,AL,1901,34.5,32.3,41.1,46.2,57.1,66.5,69.8,67.8,61,48.8,34.7,30.5
10281902,01,AL,1902,30.9,30.6,44,49.3,63.1,67.8,70.1,70,62.5,50.6,45.9,34.9
10281903,01,AL,1903,33.3,36.8,50.5,48.2,58.7,62.2,68.8,69.4,59.8,49.4,38.7,27.3
10281904,01,AL,1904,29.7,37.6,45.8,47.3,56.2,64.9,66.6,67.6,63.7,49.2,39.2,34.8
10281905,01,AL,1905,27.5,28.6,46.7,51.8,63.7,67.3,68.4,69,64.3,53,42.7,32.8
10281906,01,AL,1906,35.1,32,39.9,50.7,57.7,67.1,68.5,69.2,68.1,48.5,41.2,38.9
10281907,01,AL,1907,42.2,36,51.2,46.2,57.4,63,69.6,68.4,63.5,49.7,39.2,35
10281908,01,AL,1908,32.2,32.8,49.8,55.2,59.6,65.5,68.7,67.9,62,45.3,43.3,38.7
10281909,01,AL,1909,38.2,37.2,44,50.6,56.6,67.4,69.3,69.2,63.3,47.3,44.3,29.6
10281910,01,AL,1910,33,33,45.9,47.6,56,64.2,68.8,67.9,64.4,53.3,37.6,30.6
10281911,01,AL,1911,38.6,43,44.2,52.1,58.7,67.5,67.2,68.1,67.9,56.6,37.6,38.5
10281912,01,AL,1912,29,30.2,41,52.7,59.2,64.4,69.1,68,66.2,54.2,35.7,36.9
10281913,01,AL,1913,40,35.5,43.5,49.1,58.2,64.6,69.8,67.7,62.4,47.7,41.5,37.5
10281914,01,AL,1914,35.2,33.3,37.8,50.9,57.7,69.8,69.8,68.7,61.8,52.8,38.8,34
