CD,FIPS
101,01033
101,01059
101,01077
101,01079
101,01083
101,01089
101,01103
102,01009
102,01043
102,01049
102,01071
102,01073
102,01095
103,01001
103,01007
103,01021
103,01057
103,01075
103,01093
103,01107
103,01125
103,01127
103,01133
104,01015
104,01019
104,01055
104,01115
104,01117
104,01121
105,01017
105,01027
105,01029
105,01037
105,01051
105,01081
105,01111
105,01123
106,01011
106,01047
106,01063
106,01065
106,01085
106,01087
106,01091
106,01101
106,01105
106,01119
107,01005
107,01013
107,01023
107,01025
107,01031
107,01035
107,01039
107,01041
107,01045
107,01053
107,01061
107,01067
107,01069
107,01099
107,01109
107,01113
107,01129
107,01131
108,01003
108,01097
201,04015
202,04001
202,04005
202,04017
203,04025
204,04007
205,04012
205,04027
206,04013
206,04021
207,04003
207,04009
207,04011
207,04019
207,04023
301,05007
301,05009
301,05015
301,05087
301,05101
301,05143
302,05005
302,05023
302,05049
302,05065
302,05089
302,05129
302,05135
302,05137
302,05141
303,05021
303,05031
303,05055
303,05063
303,05067
303,05075
303,05093
303,05111
303,05121
303,05145
304,05033
304,05047
304,05071
304,05083
304,05113
304,05115
304,05127
304,05131
304,05149
305,05029
305,05045
305,05051
305,05053
305,05059
305,05105
305,05119
305,05125
306,05001
306,05035
306,05037
306,05077
306,05085
306,05095
306,05107
306,05117
306,05123
306,05147
307,05057
307,05061
307,05073
307,05081
307,05091
307,05097
307,05109
307,05133
308,05011
308,05013
308,05019
308,05025
308,05027
308,05039
308,05099
308,05103
308,05139
309,05003
309,05017
309,05041
309,05043
309,05069
309,05079
401,06015
401,06021
401,06023
401,06033
401,06041
401,06045
401,06049
401,06055
401,06093
401,06095
401,06097
401,06105
402,06003
402,06005
402,06007
402,06011
402,06017
402,06021
402,06033
402,06035
402,06049
402,06055
402,06057
402,06061
402,06063
402,06067
402,06089
402,06091
402,06093
402,06095
402,06101
402,06103
402,06113
402,06115
403,06003
403,06017
403,06035
403,06049
403,06051
403,06057
403,06061
403,06091
404,06001
404,06013
404,06053
404,06069
404,06075
404,06079
404,06081
404,06085
404,06087
405,06001
405,06003
405,06005
405,06009
405,06013
405,06017
405,06019
405,06029
405,06031
405,06039
405,06043
405,06047
405,06067
405,06069
405,06077
405,06079
405,06099
405,06107
405,06109
406,06029
406,06037
406,06059
406,06065
406,06071
406,06073
406,06079
406,06083
406,06111
407,06025
407,06027
407,06029
407,06037
407,06051
407,06065
407,06071
407,06073
501,08009
501,08011
501,08015
501,08017
501,08023
501,08025
501,08027
501,08039
501,08041
501,08043
501,08055
501,08061
501,08065
501,08071
501,08073
501,08089
501,08093
501,08099
501,08101
501,08109
501,08119
502,08007
502,08029
502,08033
502,08037
502,08045
502,08049
502,08051
502,08053
502,08067
502,08077
502,08079
502,08081
502,08083
502,08085
502,08091
502,08097
502,08103
502,08107
502,08109
502,08111
502,08113
502,08117
503,08017
503,08039
503,08061
503,08063
503,08073
503,08075
503,08095
503,08115
503,08121
503,08125
504,08001
504,08005
504,08013
504,08019
504,08031
504,08035
504,08039
504,08041
504,08047
504,08057
504,08059
504,08069
504,08073
504,08075
504,08087
504,08093
504,08115
504,08119
504,08121
504,08123
505,08003
505,08007
505,08021
505,08023
505,08053
505,08079
505,08105
505,08109
505,08111
601,09003
601,09005
601,09009
602,09001
602,09003
602,09005
602,09007
602,09009
602,09011
602,09013
602,09015
603,09001
603,09007
603,09009
603,09011
701,10003
702,10001
702,10005
801,12005
801,12013
801,12033
801,12037
801,12039
801,12045
801,12059
801,12063
801,12065
801,12073
801,12077
801,12091
801,12113
801,12129
801,12131
801,12133
802,12001
802,12003
802,12007
802,12019
802,12023
802,12029
802,12031
802,12035
802,12041
802,12047
802,12067
802,12075
802,12079
802,12089
802,12107
802,12109
802,12121
802,12123
802,12125
803,12009
803,12017
803,12053
803,12069
803,12083
803,12095
803,12101
803,12117
803,12119
803,12127
804,12009
804,12027
804,12049
804,12055
804,12057
804,12061
804,12081
804,12093
804,12097
804,12103
804,12105
804,12111
804,12115
805,12011
805,12015
805,12021
805,12043
805,12051
805,12071
805,12085
805,12086
805,12087
805,12093
805,12099
806,12011
806,12085
806,12086
806,12087
806,12099
807,12086
901,13015
901,13047
901,13055
901,13083
901,13115
901,13129
901,13213
901,13223
901,13233
901,13295
901,13313
902,13013
902,13057
902,13059
902,13067
902,13085
902,13089
902,13111
902,13117
902,13121
902,13123
902,13135
902,13139
902,13157
902,13187
902,13219
902,13227
902,13281
902,13291
902,13297
902,13311
903,13011
903,13105
903,13119
903,13137
903,13147
903,13181
903,13195
903,13221
903,13241
903,13257
903,13317
904,13045
904,13053
904,13063
904,13077
904,13097
904,13113
904,13143
904,13145
904,13149
904,13151
904,13171
904,13193
904,13197
904,13199
904,13215
904,13231
904,13249
904,13255
904,13263
904,13269
904,13285
904,13293
905,13009
905,13021
905,13023
905,13035
905,13079
905,13091
905,13133
905,13141
905,13153
905,13159
905,13167
905,13169
905,13175
905,13207
905,13209
905,13211
905,13217
905,13225
905,13235
905,13237
905,13247
905,13265
905,13283
905,13289
905,13303
905,13309
905,13319
906,13031
906,13033
906,13043
906,13073
906,13103
906,13107
906,13125
906,13163
906,13165
906,13189
906,13245
906,13251
906,13301
907,13007
907,13037
907,13061
907,13087
907,13095
907,13099
907,13131
907,13177
907,13201
907,13205
907,13239
907,13243
907,13253
907,13259
907,13261
907,13273
907,13275
907,13307
908,13003
908,13017
908,13019
908,13027
908,13065
908,13069
908,13071
908,13075
908,13081
908,13093
908,13101
908,13155
908,13161
908,13173
908,13185
908,13271
908,13277
908,13287
908,13315
908,13321
909,13001
909,13005
909,13025
909,13029
909,13039
909,13049
909,13051
909,13109
909,13127
909,13179
909,13183
909,13191
909,13229
909,13267
909,13279
909,13299
909,13305
1001,16009
1001,16017
1001,16021
1001,16055
1001,16057
1002,16009
1002,16035
1002,16049
1002,16057
1002,16061
1002,16069
1003,16035
1003,16049
1003,16061
1003,16069
1004,16001
1004,16003
1004,16009
1004,16013
1004,16015
1004,16017
1004,16025
1004,16035
1004,16037
1004,16039
1004,16045
1004,16049
1004,16055
1004,16057
1004,16059
1004,16079
1004,16085
1004,16087
1005,16001
1005,16003
1005,16027
1005,16039
1005,16045
1005,16073
1005,16075
1005,16087
1006,16031
1006,16073
1006,16083
1007,16013
1007,16025
1007,16031
1007,16039
1007,16047
1007,16053
1007,16063
1007,16067
1007,16073
1007,16083
1008,16023
1008,16033
1008,16037
1008,16059
1009,16005
1009,16011
1009,16013
1009,16019
1009,16023
1009,16031
1009,16033
1009,16043
1009,16051
1009,16065
1009,16067
1009,16077
1010,16005
1010,16007
1010,16011
1010,16019
1010,16029
1010,16031
1010,16033
1010,16041
1010,16043
1010,16051
1010,16065
1010,16071
1010,16077
1010,16081
1101,17011
1101,17015
1101,17073
1101,17085
1101,17103
1101,17131
1101,17141
1101,17155
1101,17161
1101,17177
1101,17195
1101,17201
1102,17007
1102,17031
1102,17037
1102,17043
1102,17063
1102,17089
1102,17093
1102,17097
1102,17099
1102,17111
1102,17197
1103,17001
1103,17009
1103,17057
1103,17067
1103,17071
1103,17095
1103,17109
1103,17169
1103,17187
1104,17039
1104,17107
1104,17113
1104,17115
1104,17123
1104,17125
1104,17129
1104,17143
1104,17175
1104,17179
1104,17203
1105,17019
1105,17053
1105,17075
1105,17091
1105,17105
1105,17147
1105,17183
1106,17005
1106,17013
1106,17017
1106,17021
1106,17061
1106,17083
1106,17117
1106,17119
1106,17135
1106,17137
1106,17149
1106,17167
1106,17171
1107,17023
