County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile
Autauga ,AL,13.8,25.2,6,53682,24571,12.1,54571,55395,1.5,91.8
Baldwin ,AL,18.7,22.2,5.6,50221,26766,13.9,182265,200111,9.8,114.6
Barbour ,AL,16.5,21.2,5.7,32911,16829,26.7,27457,26887,-2.1,31
Bibb ,AL,14.8,21,5.3,36447,17427,18.1,22915,22506,-1.8,36.8
Blount ,AL,17,23.6,6.1,44145,20730,15.8,57322,57719,0.7,88.9
Bullock ,AL,14.9,21.4,6.3,32033,18628,21.6,10914,10764,-1.4,17.5
Butler ,AL,18,23.6,6.1,29918,17403,28.4,20947,20296,-3.1,27
Calhoun ,AL,16,22.2,5.7,39962,20828,21.9,118572,115916,-2.3,195.7
Chambers ,AL,18.3,21.4,5.9,32402,19291,24.1,34215,34076,-0.3,57.4
Cherokee ,AL,20.9,20.4,4.8,34907,22030,21.2,25989,26037,0.2,46.9
Chilton ,AL,15.2,24.2,6.4,41250,20701,19.5,43643,43931,0.7,63
Choctaw ,AL,20.8,20.6,4.9,33941,20323,21.5,13859,13323,-3.9,15.2
Clarke ,AL,18,22.6,5.6,29357,18979,29.3,25833,24945,-3.5,20.9
Clay ,AL,19.4,21.6,5.3,34002,18694,19,13932,13552,-2.7,23.1
Cleburne ,AL,18.4,23.3,5.7,38019,19108,18.4,14972,15080,0.7,26.7
Coffee ,AL,15.9,23.7,6.1,43768,23380,18.6,49948,50909,1.9,73.6
Colbert ,AL,18.5,21.7,5.7,39077,21572,17.9,54428,54543,0.2,91.8
Conecuh ,AL,20.4,21.4,5.5,24658,15605,32.7,13228,12670,-4.2,15.6
Coosa ,AL,18.5,18.3,4.8,37277,18493,20.9,11539,10886,-7.4,17.7
Covington ,AL,19.8,22.1,5.9,35869,20391,20,37765,37914,0.4,36.6
Crenshaw ,AL,18,22.7,6.1,36275,21343,19.1,13906,13977,0.5,22.8
Cullman ,AL,17.6,22.5,5.9,38847,20760,18.8,80406,81289,1.1,109.4
Dale ,AL,15.4,23.6,6.3,44889,22685,17.4,50251,49484,-1.5,89.6
Dallas ,AL,15.6,25.2,6.7,26519,17245,35.5,43820,41711,-4.8,44.8
DeKalb ,AL,15.7,24.7,6.2,37851,18149,19.9,71109,71065,-0.1,91.5
Elmore ,AL,14,23,5.9,54766,23856,13.4,79303,80977,2.1,128.2
Escambia ,AL,16.7,22,6.1,30687,16540,25.4,38319,37733,-1.5,40.5
Etowah ,AL,17.3,22.1,5.7,38013,20204,19,104430,103531,-0.9,195.2
Fayette ,AL,19.6,21.7,5.4,33838,18494,19.9,17241,16874,-2.1,27.5
Franklin ,AL,15.9,24.3,6.6,36415,18888,21.9,31704,31601,-0.3,50
Geneva ,AL,19.2,22.2,5.8,35625,20199,21.2,26790,26712,-0.3,46.6
Greene ,AL,17.9,23.3,5.9,24226,14930,32.9,9045,8553,-5.4,14
Hale ,AL,17.3,23.3,6.2,30051,18812,26.6,15760,15184,-3.7,24.5
Henry ,AL,20.8,21.2,5.5,41650,21924,14.4,17302,17190,-0.6,30.8
Houston ,AL,16.1,23.7,6.2,40948,23316,18,101547,104193,2.6,175.1
Jackson ,AL,18.6,21.7,5.4,37634,20486,16,53227,52665,-1.1,49.4
Jefferson ,AL,14.3,23.1,6.6,45429,26906,18,658466,660793,0.4,592.5
Lamar ,AL,20.5,21.7,5,36028,19026,22.3,14564,14086,-3.3,24.1
Lauderdale ,AL,18.2,20.5,5.2,42844,23510,17.2,92709,93096,0.4,138.8
Lawrence ,AL,16.8,21.7,5.3,38551,20181,17.5,34339,33477,-2.5,49.7
Lee ,AL,10.3,21.6,5.8,43542,23506,22,140247,154255,9.9,230.8
Limestone ,AL,13.8,23.4,5.9,48619,25020,14.7,82782,90787,9.7,147.8
Lowndes ,AL,17.4,23.1,6.7,26230,18368,26.7,11299,10580,-6.4,15.8
Macon ,AL,16.8,18.3,4.7,30724,16826,27.3,21452,19425,-9.4,35.2
Madison ,AL,13.7,22.4,5.8,58434,31933,12.8,334811,350299,4.6,417.7
Marengo ,AL,18.6,23,6,35079,22072,24,21027,20110,-4.4,21.5
Marion ,AL,20.1,21.2,5.4,32888,19576,20.9,30776,30271,-1.6,41.5
Marshall ,AL,16.3,24.5,6.6,39526,20382,19.5,93019,94636,1.7,164.4
Mobile ,AL,14.5,24,6.7,43028,22501,19.8,412992,415123,0.5,335.9
Monroe ,AL,17.9,23.4,5.5,29203,15749,28.6,23068,21947,-4.9,22.5
Montgomery ,AL,13.3,24,6.8,44790,24975,21.2,229363,226189,-1.4,292.5
