geoid,name,median,male,female
30019,"Daniels County, Montana",50.7,49.4,52.3
72073,"Jayuya Municipio, Puerto Rico",37.8,36.1,40.1
39173,"Wood County, Ohio",34.8,33.6,36
24023,"Garrett County, Maryland",45.6,44.4,47
30079,"Prairie County, Montana",51.8,53,49.7
08011,"Bent County, Colorado",41,39.6,45.9
13081,"Crisp County, Georgia",38.8,36.8,42.1
04027,"Yuma County, Arizona",34.3,32.8,36.4
22019,"Calcasieu Parish, Louisiana",36,34.9,37
37011,"Avery County, North Carolina",44.4,42.9,47.1
49015,"Emery County, Utah",35.4,34.9,36.3
54011,"Cabell County, West Virginia",38.5,36.9,40.1
20157,"Republic County, Kansas",51.1,49.5,52.6
05081,"Little River County, Arkansas",42.6,39.8,43.9
26049,"Genesee County, Michigan",40.3,38.7,42
72077,"Juncos Municipio, Puerto Rico",38.4,37.5,39.2
18153,"Sullivan County, Indiana",41,40.2,42.1
31139,"Pierce County, Nebraska",41.5,40.1,42.9
20119,"Meade County, Kansas",37.3,34.9,41
27025,"Chisago County, Minnesota",41,39.7,42.2
06047,"Merced County, California",30.9,30.1,31.7
51036,"Charles City County, Virginia",50.3,49.6,51.4
48219,"Hockley County, Texas",33.5,32.2,35.3
50011,"Franklin County, Vermont",40,38.7,41.2
21029,"Bullitt County, Kentucky",40.1,39.3,40.9
21171,"Monroe County, Kentucky",41.6,40.1,43.8
13057,"Cherokee County, Georgia",38.3,37.5,39
28023,"Clarke County, Mississippi",42.1,41,42.5
27075,"Lake County, Minnesota",50.4,49.9,51.2
51185,"Tazewell County, Virginia",44.9,42.5,47
42053,"Forest County, Pennsylvania",40.4,36.8,64.5
47149,"Rutherford County, Tennessee",33.3,32.2,34.5
48293,"Limestone County, Texas",40,38.1,42.7
05147,"Woodruff County, Arkansas",45.6,45.8,45.3
48129,"Donley County, Texas",41.6,40.6,43.4
16017,"Bonner County, Idaho",47.8,47.4,48.2
28037,"Franklin County, Mississippi",42.1,41,42.3
29131,"Miller County, Missouri",40.8,39.7,41.7
06109,"Tuolumne County, California",48.4,45.2,51.5
31077,"Greeley County, Nebraska",45.7,43.7,48.2
05105,"Perry County, Arkansas",43.5,40.8,45.2
19019,"Buchanan County, Iowa",38.7,37.9,39.5
29049,"Clinton County, Missouri",40.7,39.9,41.6
