geoid,name,median
30019,"Daniels County, Montana",54750
72073,"Jayuya Municipio, Puerto Rico",15424
39173,"Wood County, Ohio",59789
24023,"Garrett County, Maryland",49619
30079,"Prairie County, Montana",47250
08011,"Bent County, Colorado",34392
13081,"Crisp County, Georgia",35096
04027,"Yuma County, Arizona",44058
22019,"Calcasieu Parish, Louisiana",49452
37011,"Avery County, North Carolina",38134
49015,"Emery County, Utah",52055
54011,"Cabell County, West Virginia",38321
20157,"Republic County, Kansas",48022
05081,"Little River County, Arkansas",45388
26049,"Genesee County, Michigan",47006
72077,"Juncos Municipio, Puerto Rico",18969
18153,"Sullivan County, Indiana",46517
31139,"Pierce County, Nebraska",56620
20119,"Meade County, Kansas",55568
27025,"Chisago County, Minnesota",80409
06047,"Merced County, California",50129
51036,"Charles City County, Virginia",59192
48219,"Hockley County, Texas",48116
50011,"Franklin County, Vermont",64258
21029,"Bullitt County, Kentucky",60534
21171,"Monroe County, Kentucky",34167
13057,"Cherokee County, Georgia",79670
28023,"Clarke County, Mississippi",39246
27075,"Lake County, Minnesota",59516
51185,"Tazewell County, Virginia",40978
42053,"Forest County, Pennsylvania",38383
47149,"Rutherford County, Tennessee",63846
48293,"Limestone County, Texas",42680
05147,"Woodruff County, Arkansas",31023
48129,"Donley County, Texas",43224
16017,"Bonner County, Idaho",48710
28037,"Franklin County, Mississippi",40810
29131,"Miller County, Missouri",42718
06109,"Tuolumne County, California",56493
31077,"Greeley County, Nebraska",47128
05105,"Perry County, Arkansas",46071
19019,"Buchanan County, Iowa",61409
29049,"Clinton County, Missouri",58510
48321,"Matagorda County, Texas",45500
22095,"St. John the Baptist Parish, Louisiana",54821
06043,"Mariposa County, California",51199
29139,"Montgomery County, Missouri",45862
28103,"Noxubee County, Mississippi",36000
53051,"Pend Oreille County, Washington",48583
36071,"Orange County, New York",76716
42013,"Blair County, Pennsylvania",47969
13103,"Effingham County, Georgia",65153
72089,"Luquillo Municipio, Puerto Rico",20829
51121,"Montgomery County, Virginia",54641
17089,"Kane County, Illinois",76912
21159,"Martin County, Kentucky",35125
26003,"Alger County, Michigan",46007
37171,"Surry County, North Carolina",41068
53025,"Grant County, Washington",54982
24027,"Howard County, Maryland",117730
13061,"Clay County, Georgia",25000
51075,"Goochland County, Virginia",89741
21163,"Meade County, Kentucky",57963
18015,"Carroll County, Indiana",56429
42047,"Elk County, Pennsylvania",51112
39141,"Ross County, Ohio",48403
21149,"McLean County, Kentucky",50445
13141,"Hancock County, Georgia",31984
72047,"Corozal Municipio, Puerto Rico",15088
31145,"Red Willow County, Nebraska",46859
48501,"Yoakum County, Texas",68814
51167,"Russell County, Virginia",39482
54099,"Wayne County, West Virginia",36875
51157,"Rappahannock County, Virginia",68438
27159,"Wadena County, Minnesota",45860
48329,"Midland County, Texas",78888
45061,"Lee County, South Carolina",31651
37005,"Alleghany County, North Carolina",37558
48025,"Bee County, Texas",42032
47051,"Franklin County, Tennessee",49038
38089,"Stark County, North Dakota",75708
27097,"Morrison County, Minnesota",54962
48125,"Dickens County, Texas",41618
35045,"San Juan County, New Mexico",50582
48481,"Wharton County, Texas",49619
20159,"Rice County, Kansas",50764
47139,"Polk County, Tennessee",41818
21167,"Mercer County, Kentucky",50475
27007,"Beltrami County, Minnesota",47410
20161,"Riley County, Kansas",49910
51800,"Suffolk city, Virginia",70664
53015,"Cowlitz County, Washington",51752
48383,"Reagan County, Texas",70478
17125,"Mason County, Illinois",45596
12107,"Putnam County, Florida",35649
17005,"Bond County, Illinois",58097
48269,"King County, Texas",65125
17025,"Clay County, Illinois",48691
19125,"Marion County, Iowa",58492
56021,"Laramie County, Wyoming",64220
09009,"New Haven County, Connecticut",67128
48387,"Red River County, Texas",37955
36009,"Cattaraugus County, New York",47240
48003,"Andrews County, Texas",74233
18109,"Morgan County, Indiana",62462
37137,"Pamlico County, North Carolina",44947
05103,"Ouachita County, Arkansas",34887
05119,"Pulaski County, Arkansas",50093
13113,"Fayette County, Georgia",87272
29199,"Scotland County, Missouri",42965
05127,"Scott County, Arkansas",35509
28127,"Simpson County, Mississippi",37946
29057,"Dade County, Missouri",39979
21011,"Bath County, Kentucky",40837
55075,"Marinette County, Wisconsin",47497
29165,"Platte County, Missouri",76912
29159,"Pettis County, Missouri",44382
51111,"Lunenburg County, Virginia",41868
41029,"Jackson County, Oregon",50851
17077,"Jackson County, Illinois",37802
51570,"Colonial Heights city, Virginia",53716
39079,"Jackson County, Ohio",45340
45081,"Saluda County, South Carolina",44486
19049,"Dallas County, Iowa",84790
31023,"Butler County, Nebraska",55562
53049,"Pacific County, Washington",44846
31087,"Hitchcock County, Nebraska",42902
45077,"Pickens County, South Carolina",47024
48185,"Grimes County, Texas",50298
13069,"Coffee County, Georgia",38266
47179,"Washington County, Tennessee",46752
13179,"Liberty County, Georgia",45959
48043,"Brewster County, Texas",43894
72137,"Toa Baja Municipio, Puerto Rico",24899
42043,"Dauphin County, Pennsylvania",58916
31105,"Kimball County, Nebraska",43856
13251,"Screven County, Georgia",37588
08097,"Pitkin County, Colorado",71244
18123,"Perry County, Indiana",51064
72087,"Loï¿½za Municipio, Puerto Rico",17402
51163,"Rockbridge County, Virginia",54805
02198,"Prince of Wales-Hyder Census Area, Alaska",54191
47047,"Fayette County, Tennessee",59017
39015,"Brown County, Ohio",52356
26005,"Allegan County, Michigan",59883
20057,"Ford County, Kansas",53072
30109,"Wibaux County, Montana",50202
17171,"Scott County, Illinois",53973
48141,"El Paso County, Texas",44597
40045,"Ellis County, Oklahoma",52705
26121,"Muskegon County, Michigan",48329
13039,"Camden County, Georgia",56397
28145,"Union County, Mississippi",41287
19033,"Cerro Gordo County, Iowa",52902
41045,"Malheur County, Oregon",42478
48317,"Martin County, Texas",69722
22065,"Madison Parish, Louisiana",27810
05031,"Craighead County, Arkansas",45868
45053,"Jasper County, South Carolina",41930
13259,"Stewart County, Georgia",25385
19041,"Clay County, Iowa",47874
19117,"Lucas County, Iowa",50206
28055,"Issaquena County, Mississippi",25776
48009,"Archer County, Texas",64476
13265,"Taliaferro County, Georgia",31797
06031,"Kings County, California",53865
38021,"Dickey County, North Dakota",60918
38053,"McKenzie County, North Dakota",80732
13083,"Dade County, Georgia",44471
13255,"Spalding County, Georgia",42671
17109,"McDonough County, Illinois",43724
08073,"Lincoln County, Colorado",49423
26113,"Missaukee County, Michigan",44766
39175,"Wyandot County, Ohio",52940
01033,"Colbert County, Alabama",47558
40041,"Delaware County, Oklahoma",39742
