id,st_code,state,year,month,temp
10021895,01,AL,1895,jan,43.1
10021896,01,AL,1896,jan,43.5
10021897,01,AL,1897,jan,41.8
10021898,01,AL,1898,jan,49
10021899,01,AL,1899,jan,43.8
10021900,01,AL,1900,jan,43.6
10021901,01,AL,1901,jan,46
10021902,01,AL,1902,jan,43.2
10021903,01,AL,1903,jan,43.4
10021904,01,AL,1904,jan,41.1
10021905,01,AL,1905,jan,38.6
10021906,01,AL,1906,jan,46.2
10021907,01,AL,1907,jan,53.6
10021908,01,AL,1908,jan,43.4
10021909,01,AL,1909,jan,49.6
10021910,01,AL,1910,jan,45.3
10021911,01,AL,1911,jan,49.9
10021912,01,AL,1912,jan,40.2
10021913,01,AL,1913,jan,51.2
10021914,01,AL,1914,jan,47
10021915,01,AL,1915,jan,42.5
10021916,01,AL,1916,jan,51.8
10021917,01,AL,1917,jan,49.7
10021918,01,AL,1918,jan,37.4
10021919,01,AL,1919,jan,44
10021920,01,AL,1920,jan,46.9
10021921,01,AL,1921,jan,49.3
10021922,01,AL,1922,jan,46.4
10021923,01,AL,1923,jan,50.9
10021924,01,AL,1924,jan,40.6
10021925,01,AL,1925,jan,47.1
10021926,01,AL,1926,jan,43.8
10021927,01,AL,1927,jan,47.8
10021928,01,AL,1928,jan,44
10021929,01,AL,1929,jan,48.1
10021930,01,AL,1930,jan,44.8
10021931,01,AL,1931,jan,43.7
10021932,01,AL,1932,jan,51.9
10021933,01,AL,1933,jan,51.4
10021934,01,AL,1934,jan,48.3
10021935,01,AL,1935,jan,46.7
10021936,01,AL,1936,jan,43.1
10021937,01,AL,1937,jan,57
10021938,01,AL,1938,jan,46.2
10021939,01,AL,1939,jan,48.8
10021940,01,AL,1940,jan,32.1
10021941,01,AL,1941,jan,46.2
10021942,01,AL,1942,jan,42.5
10021943,01,AL,1943,jan,47.7
10021944,01,AL,1944,jan,45.2
10021945,01,AL,1945,jan,44.8
10021946,01,AL,1946,jan,46.5
10021947,01,AL,1947,jan,49.3
10021948,01,AL,1948,jan,38.5
10021949,01,AL,1949,jan,52.7
10021950,01,AL,1950,jan,58.9
10021951,01,AL,1951,jan,46.8
10021952,01,AL,1952,jan,52.4
10021953,01,AL,1953,jan,49
10021954,01,AL,1954,jan,46.9
10021955,01,AL,1955,jan,44
10021956,01,AL,1956,jan,42.2
10021957,01,AL,1957,jan,48.4
10021958,01,AL,1958,jan,39.7
10021959,01,AL,1959,jan,43.1
10021960,01,AL,1960,jan,44.5
10021961,01,AL,1961,jan,39.2
10021962,01,AL,1962,jan,42.6
10021963,01,AL,1963,jan,39.1
10021964,01,AL,1964,jan,42.4
10021965,01,AL,1965,jan,46.5
10021966,01,AL,1966,jan,40
10021967,01,AL,1967,jan,45.4
10021968,01,AL,1968,jan,42.3
10021969,01,AL,1969,jan,43.3
10021970,01,AL,1970,jan,38
10021971,01,AL,1971,jan,45
10021972,01,AL,1972,jan,49.1
10021973,01,AL,1973,jan,43.2
10021974,01,AL,1974,jan,55
10021975,01,AL,1975,jan,49
10021976,01,AL,1976,jan,40.6
10021977,01,AL,1977,jan,33.3
10021978,01,AL,1978,jan,35.6
10021979,01,AL,1979,jan,37.8
10021980,01,AL,1980,jan,46.7
10021981,01,AL,1981,jan,39.5
10021982,01,AL,1982,jan,42.9
10021983,01,AL,1983,jan,42.1
10021984,01,AL,1984,jan,40.3
10021985,01,AL,1985,jan,37.2
10021986,01,AL,1986,jan,43.1
10021987,01,AL,1987,jan,43
10021988,01,AL,1988,jan,40.7
10021989,01,AL,1989,jan,50.6
10021990,01,AL,1990,jan,49.8
10021991,01,AL,1991,jan,45.8
10021992,01,AL,1992,jan,44.1
10021993,01,AL,1993,jan,48.8
10021994,01,AL,1994,jan,40.8
10021995,01,AL,1995,jan,45.4
10021996,01,AL,1996,jan,43.5
10021997,01,AL,1997,jan,45.9
10021998,01,AL,1998,jan,47.8
10021999,01,AL,1999,jan,49.4
10022000,01,AL,2000,jan,46.5
10022001,01,AL,2001,jan,41.2
10022002,01,AL,2002,jan,46.8
10022003,01,AL,2003,jan,40
10022004,01,AL,2004,jan,44.2
10022005,01,AL,2005,jan,49.2
10022006,01,AL,2006,jan,51.1
10022007,01,AL,2007,jan,46.7
10022008,01,AL,2008,jan,43
10022009,01,AL,2009,jan,45.3
10022010,01,AL,2010,jan,40
10022011,01,AL,2011,jan,41.1
10022012,01,AL,2012,jan,50.1
10022013,01,AL,2013,jan,50
10022014,01,AL,2014,jan,37.3
10022015,01,AL,2015,jan,43.6
10022016,01,AL,2016,jan,43
10022017,01,AL,2017,jan,52.4
10022018,01,AL,2018,jan,40.4
10022019,01,AL,2019,jan,46.6
20021895,02,AZ,1895,jan,40.4
20021896,02,AZ,1896,jan,44.6
20021897,02,AZ,1897,jan,41.2
20021898,02,AZ,1898,jan,35.1
20021899,02,AZ,1899,jan,38
20021900,02,AZ,1900,jan,45.5
20021901,02,AZ,1901,jan,41.5
20021902,02,AZ,1902,jan,41.9
20021903,02,AZ,1903,jan,41.4
20021904,02,AZ,1904,jan,37.7
20021905,02,AZ,1905,jan,43.1
20021906,02,AZ,1906,jan,39
20021907,02,AZ,1907,jan,42.2
20021908,02,AZ,1908,jan,42.9
20021909,02,AZ,1909,jan,45.4
20021910,02,AZ,1910,jan,40.4
20021911,02,AZ,1911,jan,45.3
20021912,02,AZ,1912,jan,41.4
20021913,02,AZ,1913,jan,35.7
20021914,02,AZ,1914,jan,43.8
20021915,02,AZ,1915,jan,38.3
20021916,02,AZ,1916,jan,40.2
