id,st_code,state,year,month,temp
10271895,1,AL,1895,jan,52.7
10271896,1,AL,1896,jan,53
10271897,1,AL,1897,jan,52.1
10271898,1,AL,1898,jan,59.1
10271899,1,AL,1899,jan,54.4
10271900,1,AL,1900,jan,55.3
10271901,1,AL,1901,jan,57.5
10271902,1,AL,1902,jan,55.4
10271903,1,AL,1903,jan,53.5
10271904,1,AL,1904,jan,52.6
10271905,1,AL,1905,jan,49.8
10271906,1,AL,1906,jan,57.2
10271907,1,AL,1907,jan,65
10271908,1,AL,1908,jan,54.6
10271909,1,AL,1909,jan,61
10271910,1,AL,1910,jan,57.6
10271911,1,AL,1911,jan,61.3
10271912,1,AL,1912,jan,51.4
10271913,1,AL,1913,jan,62.5
10271914,1,AL,1914,jan,58.8
10271915,1,AL,1915,jan,53.3
10271916,1,AL,1916,jan,62.6
10271917,1,AL,1917,jan,60
10271918,1,AL,1918,jan,48.6
10271919,1,AL,1919,jan,56.3
10271920,1,AL,1920,jan,56.8
10271921,1,AL,1921,jan,61.1
10271922,1,AL,1922,jan,55.4
10271923,1,AL,1923,jan,62.8
10271924,1,AL,1924,jan,52.7
10271925,1,AL,1925,jan,57.2
10271926,1,AL,1926,jan,53.8
10271927,1,AL,1927,jan,59.5
10271928,1,AL,1928,jan,56
10271929,1,AL,1929,jan,59.9
10271930,1,AL,1930,jan,55.7
10271931,1,AL,1931,jan,55.3
10271932,1,AL,1932,jan,62.5
10271933,1,AL,1933,jan,61.6
10271934,1,AL,1934,jan,58.6
10271935,1,AL,1935,jan,57.9
10271936,1,AL,1936,jan,54.2
10271937,1,AL,1937,jan,65
10271938,1,AL,1938,jan,56.8
10271939,1,AL,1939,jan,60.4
10271940,1,AL,1940,jan,43
10271941,1,AL,1941,jan,57.9
10271942,1,AL,1942,jan,55.5
10271943,1,AL,1943,jan,59.1
10271944,1,AL,1944,jan,56.3
10271945,1,AL,1945,jan,56
10271946,1,AL,1946,jan,56.4
10271947,1,AL,1947,jan,58.4
10271948,1,AL,1948,jan,49.8
10271949,1,AL,1949,jan,63
10271950,1,AL,1950,jan,68.4
10271951,1,AL,1951,jan,58.9
10271952,1,AL,1952,jan,63
10271953,1,AL,1953,jan,60.6
10271954,1,AL,1954,jan,58.7
10271955,1,AL,1955,jan,54.8
10271956,1,AL,1956,jan,53.5
10271957,1,AL,1957,jan,58.8
10271958,1,AL,1958,jan,50.2
10271959,1,AL,1959,jan,55.8
10271960,1,AL,1960,jan,53.6
10271961,1,AL,1961,jan,50.4
10271962,1,AL,1962,jan,52.9
10271963,1,AL,1963,jan,50.6
10271964,1,AL,1964,jan,53.7
10271965,1,AL,1965,jan,58.8
10271966,1,AL,1966,jan,49.3
10271967,1,AL,1967,jan,56.8
10271968,1,AL,1968,jan,53.1
10271969,1,AL,1969,jan,53.6
10271970,1,AL,1970,jan,48.3
10271971,1,AL,1971,jan,55.8
10271972,1,AL,1972,jan,60.4
10271973,1,AL,1973,jan,53.6
10271974,1,AL,1974,jan,64
10271975,1,AL,1975,jan,60.2
10271976,1,AL,1976,jan,52.8
10271977,1,AL,1977,jan,43.6
10271978,1,AL,1978,jan,44.4
10271979,1,AL,1979,jan,47.8
10271980,1,AL,1980,jan,55.8
10271981,1,AL,1981,jan,52.2
10271982,1,AL,1982,jan,54.4
10271983,1,AL,1983,jan,52.1
10271984,1,AL,1984,jan,51.7
10271985,1,AL,1985,jan,48.5
10271986,1,AL,1986,jan,56.2
10271987,1,AL,1987,jan,53.5
10271988,1,AL,1988,jan,50.6
10271989,1,AL,1989,jan,62.1
10271990,1,AL,1990,jan,61
10271991,1,AL,1991,jan,53.9
10271992,1,AL,1992,jan,54.3
10271993,1,AL,1993,jan,58
10271994,1,AL,1994,jan,50.9
10271995,1,AL,1995,jan,56
10271996,1,AL,1996,jan,55.4
10271997,1,AL,1997,jan,56
10271998,1,AL,1998,jan,57.7
10271999,1,AL,1999,jan,61.3
10272000,1,AL,2000,jan,57.1
10272001,1,AL,2001,jan,52.5
10272002,1,AL,2002,jan,58.3
10272003,1,AL,2003,jan,51.5
10272004,1,AL,2004,jan,55.8
10272005,1,AL,2005,jan,60.4
10272006,1,AL,2006,jan,63.1
10272007,1,AL,2007,jan,57
10272008,1,AL,2008,jan,53.9
10272009,1,AL,2009,jan,56.7
10272010,1,AL,2010,jan,50.8
10272011,1,AL,2011,jan,52
10272012,1,AL,2012,jan,62.3
10272013,1,AL,2013,jan,59.9
10272014,1,AL,2014,jan,49.8
10272015,1,AL,2015,jan,54.6
10272016,1,AL,2016,jan,53.5
10272017,1,AL,2017,jan,62.9
10272018,1,AL,2018,jan,51.8
10272019,1,AL,2019,jan,56.6
20271895,2,AZ,1895,jan,49
20271896,2,AZ,1896,jan,56.6
20271897,2,AZ,1897,jan,50
20271898,2,AZ,1898,jan,45.9
20271899,2,AZ,1899,jan,50.1
20271900,2,AZ,1900,jan,58.8
20271901,2,AZ,1901,jan,53.8
20271902,2,AZ,1902,jan,55.4
20271903,2,AZ,1903,jan,54
20271904,2,AZ,1904,jan,52.4
20271905,2,AZ,1905,jan,53.7
20271906,2,AZ,1906,jan,50.8
20271907,2,AZ,1907,jan,52.1
20271908,2,AZ,1908,jan,55.4
20271909,2,AZ,1909,jan,56.9
20271910,2,AZ,1910,jan,52.4
20271911,2,AZ,1911,jan,55.8
