id,st_code,state,year,month,temp
10281895,1,AL,1895,jan,33.4
10281896,1,AL,1896,jan,34
10281897,1,AL,1897,jan,31.4
10281898,1,AL,1898,jan,38.8
10281899,1,AL,1899,jan,33.1
10281900,1,AL,1900,jan,31.9
10281901,1,AL,1901,jan,34.5
10281902,1,AL,1902,jan,30.9
10281903,1,AL,1903,jan,33.3
10281904,1,AL,1904,jan,29.7
10281905,1,AL,1905,jan,27.5
10281906,1,AL,1906,jan,35.1
10281907,1,AL,1907,jan,42.2
10281908,1,AL,1908,jan,32.2
10281909,1,AL,1909,jan,38.2
10281910,1,AL,1910,jan,33
10281911,1,AL,1911,jan,38.6
10281912,1,AL,1912,jan,29
10281913,1,AL,1913,jan,40
10281914,1,AL,1914,jan,35.2
10281915,1,AL,1915,jan,31.6
10281916,1,AL,1916,jan,41
10281917,1,AL,1917,jan,39.4
10281918,1,AL,1918,jan,26.1
10281919,1,AL,1919,jan,31.7
10281920,1,AL,1920,jan,37
10281921,1,AL,1921,jan,37.5
10281922,1,AL,1922,jan,37.4
10281923,1,AL,1923,jan,39
10281924,1,AL,1924,jan,28.5
10281925,1,AL,1925,jan,37.1
10281926,1,AL,1926,jan,33.7
10281927,1,AL,1927,jan,36.2
10281928,1,AL,1928,jan,31.9
10281929,1,AL,1929,jan,36.3
10281930,1,AL,1930,jan,33.9
10281931,1,AL,1931,jan,32.1
10281932,1,AL,1932,jan,41.2
10281933,1,AL,1933,jan,41.2
10281934,1,AL,1934,jan,38
10281935,1,AL,1935,jan,35.6
10281936,1,AL,1936,jan,32
10281937,1,AL,1937,jan,48.9
10281938,1,AL,1938,jan,35.6
10281939,1,AL,1939,jan,37.2
10281940,1,AL,1940,jan,21.2
10281941,1,AL,1941,jan,34.5
10281942,1,AL,1942,jan,29.5
10281943,1,AL,1943,jan,36.2
10281944,1,AL,1944,jan,34.1
10281945,1,AL,1945,jan,33.6
10281946,1,AL,1946,jan,36.6
10281947,1,AL,1947,jan,40.1
10281948,1,AL,1948,jan,27.2
10281949,1,AL,1949,jan,42.3
10281950,1,AL,1950,jan,49.4
10281951,1,AL,1951,jan,34.8
10281952,1,AL,1952,jan,41.8
10281953,1,AL,1953,jan,37.3
10281954,1,AL,1954,jan,35.1
10281955,1,AL,1955,jan,33.2
10281956,1,AL,1956,jan,30.9
10281957,1,AL,1957,jan,38.1
10281958,1,AL,1958,jan,29.2
10281959,1,AL,1959,jan,30.3
10281960,1,AL,1960,jan,35.3
10281961,1,AL,1961,jan,27.9
10281962,1,AL,1962,jan,32.2
10281963,1,AL,1963,jan,27.6
10281964,1,AL,1964,jan,31.2
10281965,1,AL,1965,jan,34.2
10281966,1,AL,1966,jan,30.6
10281967,1,AL,1967,jan,34
10281968,1,AL,1968,jan,31.5
10281969,1,AL,1969,jan,33
10281970,1,AL,1970,jan,27.6
10281971,1,AL,1971,jan,34.1
10281972,1,AL,1972,jan,37.7
10281973,1,AL,1973,jan,32.8
10281974,1,AL,1974,jan,45.9
10281975,1,AL,1975,jan,37.9
10281976,1,AL,1976,jan,28.3
10281977,1,AL,1977,jan,23
10281978,1,AL,1978,jan,26.8
10281979,1,AL,1979,jan,27.8
10281980,1,AL,1980,jan,37.6
10281981,1,AL,1981,jan,26.8
10281982,1,AL,1982,jan,31.4
10281983,1,AL,1983,jan,32.2
10281984,1,AL,1984,jan,29
10281985,1,AL,1985,jan,25.9
10281986,1,AL,1986,jan,30
10281987,1,AL,1987,jan,32.5
10281988,1,AL,1988,jan,30.8
10281989,1,AL,1989,jan,39
10281990,1,AL,1990,jan,38.6
10281991,1,AL,1991,jan,37.6
10281992,1,AL,1992,jan,33.9
10281993,1,AL,1993,jan,39.6
10281994,1,AL,1994,jan,30.8
10281995,1,AL,1995,jan,34.9
10281996,1,AL,1996,jan,31.7
10281997,1,AL,1997,jan,35.8
10281998,1,AL,1998,jan,37.8
10281999,1,AL,1999,jan,37.4
10282000,1,AL,2000,jan,35.9
10282001,1,AL,2001,jan,29.9
10282002,1,AL,2002,jan,35.3
10282003,1,AL,2003,jan,28.4
10282004,1,AL,2004,jan,32.6
10282005,1,AL,2005,jan,38.1
10282006,1,AL,2006,jan,39.2
10282007,1,AL,2007,jan,36.4
10282008,1,AL,2008,jan,32.1
10282009,1,AL,2009,jan,33.8
10282010,1,AL,2010,jan,29.2
10282011,1,AL,2011,jan,30.2
10282012,1,AL,2012,jan,38
10282013,1,AL,2013,jan,40.3
10282014,1,AL,2014,jan,24.7
10282015,1,AL,2015,jan,32.5
10282016,1,AL,2016,jan,32.6
10282017,1,AL,2017,jan,42
10282018,1,AL,2018,jan,29
10282019,1,AL,2019,jan,36.5
20281895,2,AZ,1895,jan,31.8
20281896,2,AZ,1896,jan,32.5
20281897,2,AZ,1897,jan,32.4
20281898,2,AZ,1898,jan,24.3
20281899,2,AZ,1899,jan,25.9
20281900,2,AZ,1900,jan,32.2
20281901,2,AZ,1901,jan,29.3
20281902,2,AZ,1902,jan,28.4
20281903,2,AZ,1903,jan,28.8
20281904,2,AZ,1904,jan,23
20281905,2,AZ,1905,jan,32.6
20281906,2,AZ,1906,jan,27.2
20281907,2,AZ,1907,jan,32.2
20281908,2,AZ,1908,jan,30.3
20281909,2,AZ,1909,jan,33.9
20281910,2,AZ,1910,jan,28.3
20281911,2,AZ,1911,jan,34.8
20281912,2,AZ,1912,jan,26.6
20281913,2,AZ,1913,jan,22.7
20281914,2,AZ,1914,jan,32.6
20281915,2,AZ,1915,jan,27.5
20281916,2,AZ,1916,jan,31.5
20281917,2,AZ,1917,jan,26.7
20281918,2,AZ,1918,jan,25.6
20281919,2,AZ,1919,jan,22.5
20281920,2,AZ,1920,jan,31.5
20281921,2,AZ,1921,jan,28.9
20281922,2,AZ,1922,jan,25.5
20281923,2,AZ,1923,jan,30.9
20281924,2,AZ,1924,jan,24.2
20281925,2,AZ,1925,jan,22.9
20281926,2,AZ,1926,jan,25.1
