OBJECTID,NAME,2019 Total Pop.,2019 Median Age,2019 Median Male,2019 Median Female,2019 Pop. 18+,2019 Pop. 0-4,2019 Pop. 5-9,2019 Pop. 10-14,2019 Pop. 15-19,2019 Pop. 20-24,2019 Pop. 25-29,2019 Pop. 30-34,2019 Pop. 35-39,2019 Pop. 40-44,2019 Pop. 45-49,2019 Pop. 50-54,2019 Pop. 55-59,2019 Pop. 60-64,2019 Pop. 65-69,2019 Pop. 70-74,2019 Pop. 75-79,2019 Pop. 80-84,2019 Pop. 85+
1,A Mountain,3448,27.1,26.6,27.6,2447,339,281,235,265,415,454,288,181,160,161,145,146,126,98,67,35,29,23
2,Adelanto,389,25.7,25,26.6,250,42,38,38,38,34,32,25,20,19,19,18,18,14,13,9,5,3,4
3,Alvernon Heights,320,29.4,28.7,30.2,225,28,27,25,26,26,32,25,21,17,19,15,16,15,10,7,5,3,3
4,Amphi,7464,30,30,30.1,5575,637,533,459,498,749,850,647,493,403,420,420,390,345,248,164,100,61,45
5,Armory Park,1924,40.4,41,39.7,1707,66,67,56,58,119,209,206,172,121,117,103,114,126,114,110,67,55,45
6,Arroyo Chico,3009,39.6,38,41.6,2489,152,143,132,172,228,269,216,208,175,187,187,203,202,165,133,89,60,87
7,Avondale,1636,42.5,39.9,46.1,1342,85,74,71,102,108,136,103,90,97,86,102,124,131,112,79,46,37,53
8,Balboa Heights,1546,31,31.8,30.1,1163,121,106,101,96,152,168,136,102,92,85,93,90,75,49,41,22,8,8
9,Barrio Anita,372,32.2,31.6,33.4,299,23,18,17,26,40,48,33,24,23,26,18,15,17,20,10,9,3,3
10,Barrio Blue Moon,956,41,39.4,43.1,816,44,38,36,77,110,63,58,40,56,60,58,74,77,70,42,29,10,12
11,Barrio Centro,1116,34.7,32.8,37,878,61,64,62,111,105,84,76,68,63,73,70,67,62,45,35,29,20,21
12,Barrio Hollywood,2611,35.2,34.3,36.2,1926,192,197,193,175,163,182,196,174,163,157,147,146,148,128,96,57,43,54
13,Barrio San Antonio,345,40.2,40,40.7,302,13,12,11,12,19,32,40,32,23,24,23,19,23,23,19,10,5,4
14,Barrio Santa Rosa,1156,29,28.2,29.8,800,106,95,94,101,103,99,87,79,64,61,61,54,49,35,25,17,12,13
15,Barrio Viejo,822,40.8,42,39.6,707,29,36,28,32,52,80,74,70,57,53,54,73,51,34,38,26,14,20
16,Bear Canyon,2551,47.1,45.7,48.3,2066,119,129,142,153,132,176,140,122,105,136,165,220,214,200,169,106,66,56
17,Blenman-Elm,3233,34.5,33.8,35.5,2767,141,124,123,225,381,322,333,213,180,176,184,211,174,168,123,66,40,50
18,Broadmoor-Broadway,875,44,38.5,49,740,43,38,33,32,64,77,61,57,41,42,55,80,86,57,45,23,15,26
19,Broadway/Northeast,692,47.9,43.5,51.4,584,27,28,30,36,34,47,43,41,37,39,45,53,56,54,41,26,22,32
