OBJECTID,NAME,2019 White Pop.,2019 Black Pop.,2019 Native American Pop.,2019 Asian pop.,2019 Pacific Islander Pop.,2019 Other Race,2019 races 2+ pop.,2019 Hisp. Pop.,2019 Minority Pop.,2019 Base Pop.,2019 Diversity Index
1,A Mountain,1443,316,227,68,3,1236,155,2638,3164,3448,87.9
2,Adelanto,123,43,106,5,0,92,20,218,348,389,90.5
3,Alvernon Heights,186,31,7,7,1,67,21,201,246,320,81.4
4,Amphi,3967,612,314,469,26,1579,495,3898,5380,7462,85.2
5,Armory Park,1411,66,61,41,3,229,113,776,958,1924,72
6,Arroyo Chico,2060,107,78,66,7,511,180,1614,1900,3009,76.3
7,Avondale,1141,122,51,39,2,162,119,516,762,1636,72
8,Balboa Heights,787,88,92,84,2,394,99,869,1147,1546,86.3
9,Barrio Anita,207,10,29,6,0,98,21,231,267,371,83.2
10,Barrio Blue Moon,510,72,69,20,3,229,53,524,672,956,85.1
11,Barrio Centro,677,51,40,20,7,248,73,776,899,1116,78.6
12,Barrio Hollywood,1373,35,154,18,3,910,118,2317,2447,2611,77.6
13,Barrio San Antonio,252,12,10,12,0,39,19,134,175,344,71.8
14,Barrio Santa Rosa,495,158,71,11,0,357,63,736,964,1155,88.9
15,Barrio Viejo,585,19,25,9,0,131,52,408,461,821,74.6
16,Bear Canyon,2141,97,20,104,2,83,104,400,698,2551,48
17,Blenman-Elm,2521,83,61,217,8,197,146,647,1072,3233,58.3
18,Broadmoor-Broadway,685,18,21,26,0,93,32,324,388,875,67.2
19,Broadway/Northeast,561,26,9,16,1,41,37,166,236,691,58.1
20,Campbell-Grant,1077,35,22,39,1,69,49,294,411,1292,54.9
21,Campus Farm,5079,389,171,289,19,1388,361,3086,4076,7696,77.1
22,Catalina Vista,599,13,7,23,1,28,24,118,171,695,46.7
23,Catalina Vista/Blenman-Elm,74,3,1,5,0,3,3,16,26,89,51.9
24,Houghton South,3869,257,33,226,20,182,217,993,1615,4804,56.1
25,Colonia Del Valle,1927,78,29,79,11,242,94,752,962,2460,64.5
26,Corbett,4103,451,158,231,9,1233,379,3097,4017,6564,80.1
27,Cottonwood Manor,238,3,6,5,2,42,13,117,134,309,68.7
