Year,Volcano Name,Country,Elevation,Volcanic Explosivity Index,Latitude,Longitude
1280,Quilotoa,Ecuador,3914,6.0,-0.85,-78.9
1540,Augustine,United States,1252,4.0,59.37,-153.42
1660,Long Island,Papua New Guinea,1280,6.0,-5.358,147.12
1864,Kelut,Indonesia,1731,2.0,-7.93,112.308
1873,Ragang,Philippines,2815,2.0,7.67,124.5
1902,Tori-shima,Japan,403,3.0,30.48,140.32
1907,Alayta,Ethiopia,1501,2.0,12.88,40.57
1909,Semeru,Indonesia,3676,2.0,-8.108,112.92
1919,Kelut,Indonesia,1731,4.0,-7.93,112.308
1920,Izalco,El Salvador,1950,3.0,13.813,-89.633
1949,Villarrica,Chile,2847,3.0,-39.42,-71.93
1963,Fuego,Guatemala,3763,3.0,14.473,-90.88
1968,Mayon,Philippines,2462,3.0,13.257,123.685
1985,Semeru,Indonesia,3676,3.0,-8.108,112.92
1992,Marapi,Indonesia,2891,2.0,-0.381,100.473
2001,Stromboli,Italy,926,2.0,38.789,15.213
2004,Manam,Papua New Guinea,1807,4.0,-4.1,145.061
-1750,Veniaminof,United States,2507,6.0,56.17,-159.38
930,Ceboruco,Mexico,2280,6.0,21.125,-104.508
1158,Hekla,Iceland,1491,4.0,63.98,-19.7
1329,Etna,Italy,3350,1.0,37.734,15.004
1510,Hekla,Iceland,1491,4.0,63.98,-19.7
1615,Banda Api,Pacific Ocean,640,3.0,-4.525,129.871
1617,Fuego,Guatemala,3763,3.0,14.473,-90.88
1646,Makian,Indonesia,1357,4.0,0.32,127.4
1677,La Palma,Spain,2426,2.0,28.58,-17.83
1784,Hualalai,United States,2523,0.0,19.692,-155.87
1800,St. Helens,United States,2549,5.0,46.2,-122.18
1820,Banda Api,Pacific Ocean,640,2.0,-4.525,129.871
1827,Avachinsky,Russia,2741,2.0,53.255,158.83
1843,Etna,Italy,3350,2.0,37.734,15.004
1847,Dieng Volc Complex,Indonesia,2565,2.0,-7.2,109.92
1866,Ofu-Olosega,United States,639,2.0,-14.175,-169.618
1870,Ruang,Indonesia,725,2.0,2.28,125.425
1870,Iliwerung,Indonesia,1018,3.0,-8.54,123.59
1885,Purace,Colombia,4650,3.0,2.32,-76.4
1897,Tinakula,Solomon Is.,851,2.0,-10.38,165.8
1902,Soufriere St. Vincent,St. Vincent & the Grenadines,1220,4.0,13.33,-61.18
1907,Unnamed,Tonga,-500,0.0,-21.38,-175.65
1932,Kusatsu-Shirane,Japan,2176,3.0,36.62,138.55
1951,Kavachi,Solomon Is.,-20,2.0,-9.02,157.95
1991,Lokon-Empung,Indonesia,1580,1.0,1.358,124.792
1995,Pacaya,Guatemala,2552,3.0,14.381,-90.601
1999,Fuego,Guatemala,3763,2.0,14.473,-90.88
2011,Gamalama,Indonesia,1715,3.0,0.8,127.325
-4050,Masaya,Nicaragua,635,6.0,11.984,-86.161
-2420,Vesuvius,Italy,1281,5.0,40.821,14.426
1375,"Chichon, El",Mexico,1150,5.0,17.36,-93.228
1376,Kelut,Indonesia,1731,3.0,-7.93,112.308
1538,Campi Flegrei,Italy,458,3.0,40.827,14.139
1664,Unzen,Japan,1500,2.0,32.75,130.3
1698,Cotopaxi,Ecuador,5911,3.0,-0.677,-78.436
1775,Gamalama,Indonesia,1715,3.0,0.8,127.325
1800,Mayon,Philippines,2462,2.0,13.257,123.685
1822,Usu,Japan,731,4.0,42.53,140.83
1822,Galunggung,Indonesia,2168,5.0,-7.25,108.05
1874,Miyake-jima,Japan,815,3.0,34.08,139.53
1911,Semeru,Indonesia,3676,3.0,-8.108,112.92
1916,Stromboli,Italy,926,3.0,38.789,15.213
1928,Dieng Volc Complex,Indonesia,2565,2.0,-7.2,109.92
